id,name,description,created_at,updated_at
1,Truthfulness,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
2,Happiness,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
3,Concentration,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
4,Information,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
5,Life after death,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
6,Source of inspiration,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
7,Love,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
8,God,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
9,Diversity and Inclusion,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
10,Bahá'í,,2019-07-21 05:03:47 UTC,2019-07-21 05:03:47 UTC
11,A Higher Calling,,2019-07-21 21:35:17 UTC,2019-07-21 21:35:17 UTC
12,Nonviolence,,2019-07-21 21:36:09 UTC,2019-07-21 21:36:09 UTC
13,Reading,,2019-07-21 21:37:01 UTC,2019-07-21 21:37:01 UTC
14,Education,,2019-07-21 21:37:10 UTC,2019-07-21 21:37:10 UTC
15,Self-Education,,2019-07-21 21:37:16 UTC,2019-07-21 21:37:27 UTC
16,Faith,,2019-07-21 21:42:20 UTC,2019-07-21 21:42:20 UTC
17,Women's Rights,,2019-07-21 22:01:03 UTC,2019-07-21 22:01:03 UTC
18,Gender Oppression,,2019-07-21 22:02:15 UTC,2019-07-21 22:02:15 UTC
20,Meditation,,2019-07-21 22:09:53 UTC,2019-07-21 22:09:53 UTC
21,Spiritual Growth,,2019-07-21 22:17:30 UTC,2019-07-21 22:17:30 UTC
22,Technology,,2019-07-24 22:20:06 UTC,2019-07-24 22:20:06 UTC
23,Progressive Revelation,,2019-08-06 14:11:49 UTC,2019-08-06 14:11:49 UTC
24,Purity,,2019-08-09 10:53:24 UTC,2019-08-09 10:53:24 UTC
